Customer_ID,Age,Income_Level,Employment_Status,Credit_Score,Card_Issuance_Date,Monthly_Spend,Delinquency_Status,Outstanding_Balance,Bank_Name,Region,Delinquency_Reason,Card_Utilization,Regulatory_Change,Net_Growth_Impact
32,55,Medium,Self-Employed,692,2021-02-07,28399.5,1,52800.53,SBI,South,Job Loss,26.57,0,0
33,36,Low,Employed,693,2021-11-13,4263.55,0,9931.64,Kotak Mahindra,Central,None,8.63,0,1
34,26,Low,Employed,625,2020-12-21,6844.83,0,12656.75,Others,West,None,10.81,0,0
35,45,Low,Employed,646,2021-09-17,9981.83,0,24700.91,Kotak Mahindra,West,None,36.85,0,0
36,24,Medium,Self-Employed,739,2021-06-02,31464.15,0,57974.23,SBI,North,None,12.19,0,0
37,39,Low,Student,624,2022-10-16,2886.91,0,7478.16,HDFC,South,None,35.55,0,1
38,18,Medium,Employed,693,2021-02-05,22559.4,0,78086.74,Axis,South,None,31.18,1,1
39,23,Low,Employed,610,2020-10-06,4285.84,0,14234.82,Axis,Central,None,72.39,0,1
40,38,Medium,Employed,751,2021-03-22,26450.82,0,75040.74,SBI,Central,None,53.22,0,0
41,44,Medium,Employed,620,2021-10-14,29695.76,0,78773.01,SBI,Central,None,57.62,0,1
42,38,Medium,Employed,754,2023-07-16,26678.9,0,37589.39,ICICI,West,None,18.58,0,1
43,35,Low,Student,596,2022-03-11,3975.05,0,14333.3,Federal,South,None,65.66,0,0
44,33,High,Employed,760,2020-07-20,17942.51,0,12551.48,SBI,West,None,52.07,0,1
45,22,High,Self-Employed,680,2023-07-30,36561.16,0,78886.11,Kotak Mahindra,West,None,38.48,0,1
46,29,High,Employed,666,2020-10-17,15451.79,0,24691.26,SBI,Central,None,11.18,0,0
47,32,High,Unemployed,726,2021-07-10,50281.88,1,156115.99,Others,South,Overspending,48.34,0,0
48,47,Medium,Employed,695,2022-07-28,34132.14,0,144083.21,Axis,Central,None,34.23,0,1
49,40,Medium,Employed,678,2023-01-19,12127.54,0,26038.61,HDFC,Central,None,26.57,0,1
50,19,Medium,Student,714,2020-12-19,25230.98,0,104294.27,SBI,West,None,45.01,0,0
51,40,Medium,Employed,611,2020-05-05,12075.2,0,24118.58,Kotak Mahindra,South,None,32.51,0,1
52,33,High,Employed,548,2021-05-05,65126.06,0,122731.01,Federal,West,None,38.44,0,0
53,30,Medium,Unemployed,699,2020-09-26,30117.76,0,54964.41,RBL,West,None,15.78,0,1
54,43,High,Employed,649,2022-07-26,38400.71,0,142946.31,Axis,West,None,9.21,0,1
55,47,Low,Employed,751,2023-03-24,11825.64,0,43453.0,HDFC,East,None,69.23,0,1
56,46,High,Unemployed,632,2021-03-16,56745.29,0,123308.46,HDFC,West,None,16.44,1,1
57,28,Medium,Student,590,2022-02-24,8077.79,0,25162.6,ICICI,East,None,16.88,0,0
58,33,Medium,Self-Employed,716,2021-05-02,24949.49,0,48638.58,SBI,Central,None,28.0,0,1
59,40,Low,Employed,675,2020-02-07,4889.17,0,17520.83,Axis,South,None,56.87,0,0
60,46,Medium,Self-Employed,615,2020-11-18,21240.75,0,42711.8,ICICI,West,None,27.01,0,0
61,32,High,Self-Employed,616,2020-07-21,33116.22,0,113342.33,SBI,North,None,37.11,0,1
62,35,Low,Self-Employed,576,2021-01-19,8144.24,0,26746.01,HDFC,North,None,21.81,0,0
63,25,Medium,Unemployed,654,2020-03-25,29203.99,0,86541.33,Federal,North,None,63.29,0,0
64,25,Low,Employed,643,2021-11-28,2282.48,0,718.64,Axis,West,None,0.0,0,0
65,45,High,Employed,697,2022-11-19,5018.47,0,16410.05,HDFC,Central,None,44.62,0,1
66,50,Medium,Self-Employed,669,2022-07-05,15523.86,0,57545.57,HDFC,South,None,78.59,0,0
67,36,Low,Student,603,2021-06-03,13527.23,0,36985.74,RBL,South,None,34.52,0,1
68,47,Low,Employed,608,2021-04-10,3507.71,0,11982.26,ICICI,South,None,21.53,0,0
69,40,Medium,Student,812,2022-05-28,14842.84,0,36270.38,ICICI,West,None,0.0,0,0
70,30,Low,Student,657,2020-07-01,13835.1,0,23732.81,HDFC,East,None,47.23,1,1
71,40,Medium,Student,769,2021-10-21,33845.83,0,81309.45,HDFC,North,None,58.7,0,1
72,52,High,Student,729,2022-01-31,53851.7,0,218456.49,HDFC,West,None,63.04,0,1
73,36,High,Unemployed,610,2020-11-19,48161.3,0,139053.67,SBI,East,None,69.99,0,0
74,52,Low,Unemployed,640,2020-08-07,13005.32,0,23121.37,HDFC,South,None,55.5,0,1
75,18,High,Self-Employed,689,2022-03-24,31693.48,0,107965.34,Federal,West,None,7.83,0,1
76,45,Medium,Employed,810,2020-11-14,26926.14,0,88707.34,Axis,South,None,64.4,0,1
77,37,Low,Employed,749,2021-02-15,4012.95,0,15270.61,ICICI,North,None,23.13,1,0
78,34,Low,Employed,651,2020-03-03,16091.81,0,22536.08,ICICI,North,None,32.03,0,0
79,37,Low,Employed,721,2020-06-07,13215.73,0,23906.05,SBI,Central,None,54.56,0,1
80,18,High,Employed,748,2022-04-01,53169.99,0,209944.59,HDFC,North,None,47.36,0,1
81,34,Low,Student,589,2022-02-03,6289.7,0,14232.38,Others,North,None,22.97,0,1
82,40,Low,Self-Employed,709,2021-02-19,11467.43,0,0.0,Kotak Mahindra,North,None,47.5,0,0
83,51,Medium,Employed,780,2021-12-23,19814.92,0,18760.51,HDFC,North,None,0.0,0,1
84,31,Medium,Self-Employed,628,2021-08-11,14438.29,0,48665.91,Federal,East,None,57.77,0,1
85,28,Medium,Employed,656,2021-07-21,25849.8,0,51794.97,Axis,East,None,30.68,0,1
86,31,Medium,Employed,769,2022-03-22,976.75,0,1797.38,RBL,North,None,79.67,1,0
87,46,Low,Unemployed,608,2020-08-28,12434.02,0,51612.6,Federal,South,None,33.43,0,1
88,40,High,Employed,641,2022-03-11,19398.51,0,53017.34,Axis,East,None,64.71,0,1
89,31,Low,Self-Employed,732,2022-07-08,11664.37,0,41597.68,Axis,East,None,58.4,0,0
90,42,Medium,Employed,734,2020-08-17,5098.22,0,13850.46,RBL,South,None,55.83,0,1
91,37,Medium,Employed,705,2020-10-28,15863.72,0,33298.31,SBI,Central,None,56.17,0,1
92,46,Low,Unemployed,697,2020-06-26,10269.73,0,8860.85,SBI,Central,None,50.02,0,0
93,29,High,Employed,771,2022-06-30,57413.86,0,116713.6,Kotak Mahindra,North,None,53.51,0,1
94,33,Medium,Student,655,2022-09-08,13090.43,0,28015.28,SBI,South,None,54.97,0,1
95,33,Low,Employed,818,2022-11-04,3374.15,0,4545.01,SBI,East,None,34.8,0,0
96,22,High,Employed,795,2021-08-10,60438.73,0,195366.18,ICICI,South,None,27.73,0,1
97,39,Medium,Student,540,2021-09-19,39012.59,1,68228.3,Federal,North,Overspending,30.61,0,0
98,39,Medium,Student,598,2022-03-27,10901.11,0,28500.45,SBI,East,None,33.9,0,1
99,37,Medium,Employed,564,2021-12-21,0.0,0,0.0,RBL,East,None,44.04,0,0
100,34,High,Employed,680,2022-08-08,70414.98,0,114221.37,RBL,West,None,55.9,0,1
101,22,Low,Self-Employed,607,2021-08-21,7263.69,0,7567.29,HDFC,East,None,41.62,1,1
102,32,Low,Employed,651,2021-12-09,3472.89,0,6518.53,IDFC First,North,None,59.05,0,1
103,33,Medium,Employed,765,2020-06-02,20581.87,0,46676.35,SBI,South,None,40.49,0,0
104,28,Low,Self-Employed,574,2023-04-06,17723.54,0,46403.44,SBI,Central,None,83.77,0,1
105,35,Medium,Employed,707,2023-08-27,26575.73,0,54681.23,ICICI,East,None,41.78,0,0
106,41,Low,Employed,707,2022-02-26,11902.96,0,30378.77,Federal,South,None,39.1,0,0
107,55,Low,Employed,695,2021-03-23,8808.95,0,24181.01,HDFC,Central,None,26.75,0,0
108,38,Low,Student,667,2021-05-16,10384.92,0,33907.96,SBI,Central,None,62.78,0,0
109,39,Medium,Self-Employed,546,2020-10-26,36973.42,0,134930.93,ICICI,Central,None,61.5,0,1
110,36,High,Self-Employed,631,2021-12-11,21948.62,0,77948.29,Kotak Mahindra,Central,None,72.04,0,0
111,18,Low,Employed,792,2023-07-04,11800.51,0,17783.69,HDFC,East,None,66.27,0,1
112,36,Medium,Employed,628,2021-04-03,19653.47,0,50990.67,HDFC,South,None,41.11,0,0
113,37,Low,Employed,799,2020-12-25,7685.05,0,30983.58,HDFC,West,None,16.6,0,0
114,61,Medium,Employed,615,2021-11-21,8556.18,0,17163.1,IDFC First,West,None,43.86,0,0
115,35,Low,Employed,608,2020-08-03,10104.16,0,38663.6,SBI,East,None,61.03,0,1
116,40,Medium,Employed,642,2020-08-20,25822.14,0,72911.77,HDFC,Central,None,38.8,0,0
117,36,Medium,Self-Employed,747,2020-12-21,18132.52,0,19237.34,Kotak Mahindra,West,None,31.61,0,0
118,25,High,Self-Employed,647,2022-06-11,68943.73,1,308285.18,Axis,West,Job Loss,34.59,0,0
119,48,Low,Employed,720,2021-09-22,8416.66,0,28053.21,SBI,East,None,65.62,0,0
120,44,Medium,Self-Employed,684,2020-09-13,0.0,0,0.0,Others,West,None,32.98,0,0
121,44,Medium,Self-Employed,676,2022-11-01,25498.02,0,73723.03,ICICI,East,None,54.03,0,1
122,27,High,Employed,776,2023-02-20,16746.3,0,46781.63,SBI,South,None,58.35,0,0
123,51,Low,Employed,746,2021-12-19,15142.2,0,30259.98,ICICI,Central,None,51.93,0,1
124,22,Low,Self-Employed,611,2022-06-18,17380.45,0,55906.69,SBI,Central,None,27.38,0,1
125,42,High,Employed,683,2020-09-22,60143.5,0,128529.8,Others,South,None,35.11,0,0
126,58,Low,Employed,804,2021-05-24,7997.26,1,11345.84,HDFC,South,Overspending,8.32,0,0
127,27,Low,Employed,719,2023-08-01,11004.77,0,19005.55,Kotak Mahindra,South,None,32.52,0,1
128,31,Low,Employed,609,2021-04-14,4261.25,0,3387.22,SBI,South,None,5.41,0,0
129,37,High,Student,573,2020-12-09,52253.45,0,118072.56,ICICI,East,None,61.14,0,1
130,31,Low,Self-Employed,733,2020-04-15,4025.36,0,5696.97,ICICI,Central,None,14.38,0,0
131,21,High,Employed,742,2021-10-14,77591.78,0,145796.8,HDFC,Central,None,19.39,0,0
132,37,Medium,Student,604,2021-03-27,10141.88,0,10573.27,SBI,East,None,34.23,0,1
133,26,Low,Self-Employed,724,2021-04-04,0.0,0,0.0,HDFC,East,None,29.3,0,0
134,41,Medium,Self-Employed,775,2020-11-26,18353.16,0,81812.01,RBL,North,None,79.15,0,1
135,27,Low,Employed,787,2021-10-22,10961.57,0,28443.28,Axis,North,None,63.73,0,1
136,52,Medium,Employed,796,2021-11-11,43175.47,0,94109.56,SBI,North,None,35.65,0,1
137,29,Medium,Employed,733,2020-06-19,12764.4,0,23917.24,ICICI,East,None,71.35,1,0
138,33,Medium,Employed,689,2022-06-01,20626.0,0,58692.39,SBI,North,None,49.08,0,0
139,45,Low,Employed,675,2024-05-07,7995.76,0,20253.24,ICICI,North,None,39.45,0,1
140,24,Medium,Employed,698,2023-09-01,9469.79,0,20862.13,RBL,East,None,21.77,0,0
141,39,High,Employed,647,2020-07-30,19977.61,0,57732.4,ICICI,South,None,28.16,0,1
142,50,Medium,Employed,678,2021-09-06,1141.07,0,3509.05,Kotak Mahindra,Central,None,83.71,0,0
143,20,High,Unemployed,706,2021-10-16,70548.98,0,21469.22,Axis,South,None,50.14,0,0
144,38,Low,Employed,603,2020-12-31,4027.98,0,10181.27,SBI,South,None,35.29,0,0
145,39,High,Unemployed,537,2021-04-01,0.0,0,0.0,Federal,North,None,41.55,0,0
146,44,Low,Self-Employed,729,2022-01-29,6066.58,0,13684.02,Axis,Central,None,42.82,0,0
147,24,Low,Employed,678,2022-08-08,14092.9,0,14124.67,Others,North,None,39.11,0,1
148,23,High,Employed,584,2020-07-12,50310.24,0,107875.17,SBI,Central,None,0.0,0,0
149,42,High,Student,656,2020-08-14,50217.68,0,120007.09,ICICI,Central,None,57.47,0,1
150,39,Medium,Employed,687,2023-01-09,36187.93,0,98618.42,Axis,East,None,76.01,1,0
151,39,Low,Self-Employed,654,2020-09-09,13209.91,0,44769.2,SBI,East,None,45.87,0,1
152,40,Low,Self-Employed,721,2020-08-14,0.0,0,0.0,SBI,Central,None,49.01,0,1
153,30,Medium,Employed,620,2020-12-22,15226.59,0,34272.17,ICICI,Central,None,23.67,0,1
154,39,High,Employed,700,2021-07-09,48690.83,0,138996.38,Kotak Mahindra,East,None,32.84,0,0
155,39,Low,Employed,687,2021-12-15,8946.44,0,21346.25,Axis,Central,None,47.68,0,0
156,29,High,Unemployed,632,2021-06-20,51115.52,1,173824.41,SBI,East,Medical,44.05,0,0
157,55,Low,Unemployed,526,2021-06-05,21417.14,0,70042.08,SBI,West,None,36.72,0,1
158,41,High,Student,628,2020-09-05,20605.44,0,65397.8,Axis,Central,None,61.26,0,1
159,25,High,Employed,701,2020-03-16,0.0,0,0.0,IDFC First,South,None,43.57,0,1
160,43,Medium,Employed,732,2021-08-24,0.0,0,0.0,Kotak Mahindra,South,None,51.36,0,1
161,27,Low,Employed,810,2021-11-10,12607.51,0,38789.92,ICICI,West,None,29.59,1,1
162,44,High,Student,708,2020-05-19,36797.15,0,77723.03,Axis,West,None,57.7,0,1
163,48,Medium,Employed,727,2021-06-21,5110.6,0,13376.76,HDFC,North,None,19.35,0,1
164,28,Medium,Employed,776,2024-06-07,17650.61,0,32119.76,IDFC First,East,None,40.18,0,1
165,46,Medium,Student,641,2020-04-22,15198.49,0,45041.21,SBI,North,None,47.56,0,1
166,41,Low,Employed,793,2020-07-23,6232.32,0,17626.7,Axis,South,None,31.72,0,1
167,45,High,Employed,767,2021-06-08,1735.54,0,4176.01,SBI,Central,None,40.87,1,1
168,55,Low,Employed,673,2022-10-01,10964.13,0,16032.74,Axis,East,None,53.76,0,1
169,34,High,Employed,815,2020-07-05,54354.82,0,167524.83,Kotak Mahindra,West,None,54.53,1,0
170,29,Low,Student,686,2021-06-01,8644.72,0,23984.29,Federal,West,None,39.64,0,0
171,28,Medium,Employed,831,2022-06-11,19237.33,0,22884.13,HDFC,Central,None,32.07,0,0
172,28,Low,Employed,718,2023-05-12,8894.68,0,28067.24,ICICI,West,None,48.57,0,0
173,36,Low,Employed,666,2021-07-23,8246.04,0,18445.81,IDFC First,South,None,82.18,1,0
174,40,Low,Employed,653,2022-12-02,0.0,0,0.0,HDFC,West,None,51.61,0,0
175,39,Medium,Employed,678,2022-04-14,11620.79,0,35213.54,ICICI,West,None,74.04,0,1
176,45,Medium,Employed,665,2021-09-29,22139.59,0,36187.61,SBI,West,None,44.61,0,0
177,37,High,Self-Employed,756,2020-06-18,25294.47,0,22135.46,Federal,South,None,46.68,0,0
178,51,Low,Employed,698,2021-05-02,12418.17,0,33188.54,SBI,North,None,0.0,0,0
179,34,Medium,Self-Employed,583,2023-01-04,6483.95,0,11096.36,ICICI,Central,None,36.75,0,0
180,64,Medium,Employed,712,2020-12-29,43485.47,0,118729.43,ICICI,South,None,60.21,0,1
181,43,Low,Self-Employed,687,2021-07-24,18369.1,0,72774.76,ICICI,East,None,45.71,0,1
182,28,Medium,Employed,671,2022-12-17,17166.72,0,62414.78,HDFC,South,None,38.51,0,0
183,26,Medium,Employed,716,2020-12-28,5029.17,0,11000.09,SBI,North,None,41.11,0,0
184,41,Low,Student,657,2021-09-12,5319.22,0,12646.87,SBI,Central,None,75.09,0,0
185,34,Low,Employed,738,2022-03-17,14068.62,0,8592.28,Axis,West,None,27.52,1,1
186,44,Medium,Employed,734,2023-01-11,16609.32,0,24945.92,Axis,North,None,60.8,0,1
187,41,Low,Employed,721,2020-06-03,9970.29,1,35419.91,SBI,Central,Job Loss,72.66,0,0
188,36,Medium,Employed,622,2021-12-16,20513.35,0,73799.24,HDFC,North,None,53.99,0,1
189,28,High,Employed,827,2021-11-06,51442.12,0,226812.91,Kotak Mahindra,North,None,22.86,0,0
190,21,Medium,Employed,606,2023-02-21,25007.76,0,42271.51,Axis,West,None,52.78,0,1
191,32,Medium,Self-Employed,672,2020-05-08,17034.58,0,40723.16,ICICI,Central,None,51.02,0,1
192,45,Low,Self-Employed,614,2021-10-27,15266.1,0,20139.0,HDFC,West,None,70.85,0,1
193,39,High,Self-Employed,703,2021-08-21,50183.29,0,126600.63,Kotak Mahindra,North,None,37.4,0,1
194,24,Low,Employed,708,2021-05-01,13907.86,0,51941.69,Axis,West,None,0.0,0,0
195,38,Medium,Employed,689,2020-11-09,17551.81,0,54414.84,SBI,South,None,20.85,0,0
196,40,High,Self-Employed,771,2020-10-26,36683.75,0,73190.04,ICICI,West,None,36.65,0,1
197,28,Medium,Employed,766,2021-08-06,46805.99,0,116773.78,IDFC First,Central,None,40.76,0,0
198,38,Medium,Self-Employed,660,2022-10-16,19628.39,0,21633.31,Kotak Mahindra,South,None,56.34,0,1
199,37,Medium,Employed,748,2021-10-06,32534.73,0,54344.31,HDFC,East,None,38.43,0,1
200,25,Low,Employed,793,2021-05-20,719.97,0,2096.37,ICICI,Central,None,29.23,0,0
201,40,Medium,Unemployed,696,2022-08-08,23576.67,1,90873.96,IDFC First,West,Overspending,23.94,1,0
202,42,Low,Self-Employed,671,2022-02-09,5961.13,0,15054.67,ICICI,West,None,36.93,0,0
203,47,Medium,Self-Employed,584,2021-11-18,35388.29,0,150645.77,ICICI,West,None,43.89,0,1
204,47,Low,Unemployed,649,2020-07-31,4621.26,0,18121.61,HDFC,South,None,45.21,1,0
205,23,High,Self-Employed,720,2021-05-31,31424.16,0,107109.59,SBI,South,None,53.96,0,1
206,27,Low,Employed,653,2021-12-02,10898.12,0,28046.25,SBI,East,None,45.86,0,0
207,42,Medium,Student,661,2022-03-06,9486.66,0,23160.49,Kotak Mahindra,North,None,10.02,0,0
208,42,Medium,Self-Employed,675,2021-08-22,21273.58,1,29033.3,Others,Central,Job Loss,13.58,0,0
209,42,Medium,Self-Employed,763,2021-07-27,13981.55,0,30999.04,IDFC First,West,None,32.3,0,1
210,75,Low,Employed,811,2022-10-22,8701.36,1,4769.32,ICICI,Central,Overspending,32.99,0,0
211,42,Medium,Student,730,2021-07-11,19086.86,0,31073.26,ICICI,South,None,68.8,0,1
212,48,Low,Employed,694,2020-09-09,17178.34,0,48440.85,Others,West,None,22.75,0,1
213,46,Medium,Employed,768,2020-10-11,24626.53,0,62792.9,HDFC,North,None,51.03,0,1
214,43,Low,Employed,738,2021-05-15,1469.6,1,6103.79,ICICI,East,Medical,72.21,0,0
215,33,Medium,Employed,695,2021-03-14,10808.71,0,11600.15,Axis,Central,None,53.91,0,0
216,44,Low,Employed,825,2020-03-02,5813.71,0,25911.32,HDFC,North,None,59.42,1,1
217,29,High,Unemployed,585,2021-07-27,26002.61,1,71892.02,ICICI,West,Medical,69.62,0,1
218,34,Medium,Self-Employed,716,2021-04-16,34193.79,0,107917.93,SBI,Central,None,49.1,1,0
219,32,Low,Employed,750,2020-06-12,5209.35,0,21162.34,IDFC First,South,None,56.51,0,0
220,37,Medium,Self-Employed,662,2021-08-19,19627.13,0,62071.43,ICICI,Central,None,41.97,0,0
221,60,High,Employed,733,2022-03-08,52027.14,0,0.0,RBL,West,None,78.36,0,1
222,18,Low,Employed,756,2021-02-05,21953.33,0,100094.4,SBI,North,None,47.86,0,1
223,43,Medium,Employed,714,2021-10-21,18538.61,0,37124.92,SBI,West,None,26.04,0,1
224,20,Medium,Unemployed,658,2021-02-11,36613.67,0,71784.36,HDFC,South,None,23.85,0,1
225,32,Low,Employed,706,2023-01-05,5843.72,0,19889.82,ICICI,West,None,30.27,0,1
226,47,High,Employed,747,2022-06-25,59523.65,0,93818.58,IDFC First,South,None,9.82,0,1
227,37,Low,Employed,686,2021-03-18,3814.74,0,11240.02,SBI,South,None,69.7,0,0
228,26,Low,Self-Employed,661,2020-11-25,12005.06,0,4911.76,Axis,West,None,69.81,0,0
229,29,High,Self-Employed,681,2022-01-16,32559.75,0,78757.15,HDFC,East,None,58.86,0,0
230,43,Medium,Employed,771,2022-01-24,29123.28,0,84139.4,Others,South,None,41.57,1,1
231,29,High,Employed,595,2020-11-05,56124.54,0,93534.78,SBI,Central,None,19.8,0,1
232,39,Medium,Self-Employed,625,2020-12-29,26264.33,0,40988.84,ICICI,West,None,29.0,0,1
233,37,Medium,Self-Employed,816,2021-11-11,24280.47,0,84297.58,Federal,Central,None,50.54,0,1
234,30,High,Employed,716,2021-02-25,30454.97,0,75657.86,HDFC,South,None,32.55,0,0
235,58,Low,Unemployed,605,2021-05-31,11623.38,0,20774.26,Kotak Mahindra,West,None,40.08,0,1
236,43,Medium,Student,707,2021-11-11,3984.09,0,12105.8,ICICI,West,None,14.29,0,0
237,18,Medium,Employed,652,2022-02-17,45534.96,0,73471.6,Axis,South,None,20.77,0,1
238,38,Low,Employed,573,2021-05-26,11222.14,0,7325.67,IDFC First,North,None,29.03,0,1
239,30,Medium,Employed,721,2023-04-09,25421.82,0,21586.61,Kotak Mahindra,West,None,62.49,0,0
240,45,Low,Self-Employed,636,2022-02-18,10361.3,0,25230.8,Axis,West,None,44.62,0,1
241,29,Medium,Employed,706,2021-04-06,12562.59,0,27536.91,SBI,Central,None,25.12,0,1
242,35,Medium,Employed,719,2023-03-09,14035.18,0,30567.32,HDFC,South,None,33.02,0,1
243,42,High,Self-Employed,688,2022-05-12,44816.84,0,127276.4,Axis,South,None,68.43,0,1
244,45,Low,Unemployed,527,2020-07-25,5566.44,0,2482.79,SBI,East,None,54.41,0,0
245,24,Medium,Employed,701,2022-11-23,8150.76,0,24730.72,ICICI,West,None,20.08,0,1
246,33,Low,Employed,726,2020-06-05,7597.95,0,13306.34,SBI,East,None,43.16,0,0
247,32,Medium,Employed,615,2022-03-29,23506.17,0,59852.28,HDFC,West,None,43.04,1,1
248,30,Medium,Self-Employed,588,2020-08-14,19878.99,0,64335.35,HDFC,Central,None,55.51,0,0
249,54,Medium,Self-Employed,615,2020-07-31,30524.79,0,119599.18,Others,East,None,17.38,0,0
250,41,High,Employed,744,2022-03-22,43267.46,0,66647.26,RBL,North,None,31.24,0,0
251,24,High,Employed,580,2022-02-13,71710.03,0,246935.26,Kotak Mahindra,West,None,61.25,0,1
252,46,Low,Self-Employed,729,2020-09-27,19532.36,0,59938.35,RBL,East,None,55.66,0,0
253,58,Low,Employed,723,2020-03-23,7336.08,0,16907.43,Axis,West,None,28.31,0,0
254,47,Medium,Self-Employed,664,2021-11-03,8849.95,0,26860.85,Others,South,None,49.42,0,1
255,21,Medium,Employed,611,2021-02-17,8563.91,0,17104.66,SBI,West,None,31.06,0,1
256,32,Low,Unemployed,582,2020-12-13,7754.28,0,10923.46,IDFC First,South,None,47.75,0,1
257,49,Medium,Employed,746,2020-12-28,28021.08,0,100343.24,ICICI,East,None,55.92,0,1
258,29,Medium,Employed,775,2022-09-24,16519.03,0,37409.33,SBI,West,None,25.81,0,1
259,41,Low,Employed,638,2021-04-27,8131.81,0,34664.85,Kotak Mahindra,South,None,32.86,1,0
260,44,High,Unemployed,698,2020-08-20,29601.02,0,118963.39,SBI,South,None,42.3,0,1
261,27,Medium,Employed,741,2021-04-29,16827.53,1,20989.6,SBI,East,Job Loss,30.36,0,0
262,36,Low,Employed,699,2021-12-20,8545.53,0,35457.98,Kotak Mahindra,Central,None,27.9,0,0
263,18,Low,Student,615,2021-10-24,12878.33,0,30265.5,HDFC,South,None,47.3,0,0
264,26,High,Student,625,2021-04-26,58659.14,0,174008.59,ICICI,South,None,62.19,0,1
265,34,High,Student,769,2021-08-13,0.0,0,0.0,SBI,North,None,28.38,0,0
266,24,Medium,Employed,710,2020-09-06,26792.63,0,40670.83,HDFC,East,None,25.29,0,0
267,53,Low,Unemployed,709,2020-07-05,11240.88,0,23746.32,RBL,East,None,23.36,0,1
268,22,High,Employed,714,2020-11-14,38243.05,0,141620.14,HDFC,South,None,38.57,0,1
269,32,Medium,Employed,672,2022-04-23,16628.3,0,46511.76,HDFC,Central,None,67.05,0,0
270,38,High,Employed,735,2021-07-18,52102.46,0,63561.9,ICICI,North,None,32.55,0,1
271,51,Medium,Employed,829,2020-08-29,21316.5,0,73798.49,Axis,West,None,66.69,0,0
272,22,Low,Employed,661,2021-03-24,6855.57,0,8923.79,ICICI,Central,None,30.39,0,0
273,48,Medium,Employed,754,2020-12-15,41715.51,0,143834.29,Others,Central,None,14.21,0,1
274,37,Low,Unemployed,641,2020-09-19,10554.5,0,42622.88,HDFC,West,None,74.25,0,0
275,27,Low,Employed,613,2021-06-28,5342.91,0,7854.66,Axis,North,None,37.24,0,1
